seed,mixing,condition,recipient_rule,partner_signal_scale,alpha_scale,rA,rV,rate,pair_x_corr_post,pair_q_corr_post,repeat1,repeat5,repeat20,pair_digest
606,random,Y_ABLATE,both_update,0,1,0.60993,0.43255,0.219773,0.959548,0.674498,0.000251,0.00126108,0.00499421,7977712089098221410
707,random,Y_ABLATE,both_update,0,1,0.493902,0.330293,0.311645,0.965071,0.706594,0.000251792,0.00125763,0.00500646,6626978477444108832
808,random,Y_ABLATE,both_update,0,1,0.33298,0.262463,0.177449,0.942034,0.698007,0.000251792,0.00124754,0.00497671,8938853467923338380
909,random,Y_ABLATE,both_update,0,1,0.618041,0.449095,0.399037,0.954567,0.7273,0.000252875,0.00125146,0.00499371,7523379821232620433
1010,random,Y_ABLATE,both_update,0,1,0.368284,0.287942,0.182441,0.963336,0.714858,0.000249875,0.00125117,0.00500513,6095443981521357002
1111,random,Y_ABLATE,both_update,0,1,0.678656,0.510894,0.184423,0.964124,0.0478856,0.000251,0.00123296,0.00496196,1709130890311390258
1212,random,Y_ABLATE,both_update,0,1,0.238906,0.185493,0.328932,0.968099,0.701366,0.00025025,0.00125942,0.00500263,6566218846149515846
1313,random,Y_ABLATE,both_update,0,1,0.0461385,0.0494327,0.128024,0.961061,0.701157,0.000249875,0.00123775,0.00496054,5265459889430765273
1414,random,Y_ABLATE,both_update,0,1,0.536513,0.348659,0.0996048,0.957387,0.743637,0.000251125,0.00126492,0.00501371,16757399655768377468
1515,random,Y_ABLATE,both_update,0,1,0.0880237,0.0751006,0.126495,0.955966,0.656528,0.000244042,0.00124642,0.00496383,15553783089522774953
1616,random,Y_ABLATE,both_update,0,1,0.566524,0.428754,0.294002,0.970955,0.709204,0.000249292,0.0012575,0.00498654,2925567432917206370
1717,random,Y_ABLATE,both_update,0,1,0.584773,0.365848,0.233385,0.968013,0.716729,0.000247375,0.00123758,0.00498325,5315331658029473431
1818,random,Y_ABLATE,both_update,0,1,0.052622,0.0590157,0.218946,0.940584,0.695309,0.000251375,0.0012485,0.00498958,8503298889816827995
1919,random,Y_ABLATE,both_update,0,1,0.628208,0.433182,0.130903,0.970175,0.685555,0.00024975,0.00124192,0.0049755,2554226534663858501
2020,random,Y_ABLATE,both_update,0,1,0.129985,0.0717273,0.335486,0.965485,0.71162,0.000251375,0.00123221,0.00497462,412551867755059251
